crop,soil_type,season,temperature_c,humidity_pct,rainfall_mm,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,soil_moisture_pct,solar_radiation,wind_speed_kmh,field_area_ha,irrigation_needed,disease_risk,fertilizer_rec,yield_tons_ha
Rice,Clay,Kharif,37.4,70.5,2492,8.3,45.1,78.1,79.3,27,13.4,15.4,18.29,0,High,Balanced NPK,4.49
Maize,Red,Zaid,32.5,67,511,5.57,114.5,73.4,63.3,12.8,23.9,3.4,3.64,1,Medium,Balanced NPK,4.83
Rice,Clay,Zaid,43.9,70.3,1753.5,7.75,139.4,17.1,27.2,79,14.5,9.3,48.99,0,High,DAP,3.69
Soybean,Laterite,Kharif,26.2,43.1,1110.8,4.72,42.8,32.7,23.4,33.8,11.4,20.3,6.37,0,Low,Balanced NPK,2.65
Wheat,Laterite,Rabi,23.6,55.7,505.9,6.65,66.8,36.8,21.3,31.8,19.6,14.2,13.3,0,Low,Balanced NPK,3.2
Groundnut,Clay,Zaid,41.1,32.6,565.1,4.78,77.6,32,15.3,73.4,13.4,2.7,44.62,1,Medium,MOP,2.37
Potato,Red,Rabi,21.7,60.9,2383.3,8.24,48.3,64.9,46.3,51,24.6,9.3,24.39,0,Low,Balanced NPK,19.42
Rice,Red,Zaid,43.9,65.3,2223.1,7.57,12,44.3,50.4,25,14.8,6.1,7.21,0,Medium,Urea,4.32
Potato,Black,Rabi,15.4,44.8,2286.2,7.13,38.6,47.9,57.9,72.2,16.8,12.9,19.52,0,Medium,Urea,19.92
Rice,Alluvial,Kharif,44.1,92.7,2480.5,7.8,46.7,69,56,79.5,21.3,21.1,6.24,0,High,Balanced NPK,4.83
Barley,Alluvial,Zaid,16.3,89.1,679.1,7.09,67.7,65.4,26.9,16.1,15.7,10.9,10.41,0,Medium,Balanced NPK,2.87
Soybean,Sandy Loam,Kharif,41.7,76.9,1017.5,8.38,32.2,14.9,29.8,70.4,17.6,10.8,3.08,0,High,"Urea, DAP",2.25
Rice,Alluvial,Kharif,30.8,64.7,1739.2,7.36,123.5,58.5,56.1,37.3,26.3,22.6,22.19,0,High,Balanced NPK,4.9
Maize,Sandy Loam,Kharif,44.8,86.5,1312.7,8.2,101.6,37.7,31.2,46.7,13.6,14.4,40.43,0,High,Balanced NPK,4.88
Potato,Laterite,Zaid,17.2,38.5,1162.3,6.57,21.1,27.1,20.9,74,11.6,14.2,29.51,0,Low,Urea,19.88
Maize,Sandy Loam,Kharif,31.6,81.4,1023,4.97,94.5,8.8,33.1,78.1,16.6,6.5,30.51,0,High,DAP,5.2
Rice,Sandy Loam,Kharif,44.1,38.1,1565.7,6.61,95,41.5,25.4,28.4,18.5,15.2,10.43,1,Medium,Balanced NPK,4.98
Rice,Alluvial,Zaid,30.7,81.6,1523.9,5.01,134.3,31.7,11.6,24.9,20.9,14.4,17.52,0,High,MOP,4.62
Cotton,Red,Kharif,33.9,47.9,571.4,6.87,10.4,23.9,67.3,15.6,17.4,9.9,42.34,1,Medium,Urea,2.55
Sugarcane,Laterite,Zaid,35.9,87,1285,6.43,42.2,57.1,69,49.3,25.8,24.8,4.85,0,High,Balanced NPK,69.6
Cotton,Black,Kharif,28.6,91.4,1473,6.99,130.6,62.7,21.5,11,10.8,22,42.97,0,Medium,Balanced NPK,1.9
Rice,Sandy Loam,Rabi,33.8,39.7,1511.7,4.54,131.2,23.4,9.9,38.8,18.6,18.7,24.44,0,High,MOP,4.31
Maize,Sandy Loam,Kharif,32.5,60.1,683.2,5.28,103.7,8.7,60.4,15.1,17.6,13.4,41.94,1,Medium,DAP,5.09
Rice,Clay,Rabi,42,93.8,1907.2,6.47,109.5,68.7,20.9,38.4,23,11.6,16.24,0,High,Balanced NPK,4.61
Wheat,Sandy Loam,Zaid,16.4,61.4,258,8.3,21.9,5.7,34.5,12.8,29.3,4.6,17.27,1,Low,"Urea, DAP",3.46
Tomato,Red,Rabi,23.4,86.1,1016.1,6.03,76.8,75.3,9.8,68.5,20.2,7.6,37.7,0,Medium,MOP,25.08
Rice,Black,Zaid,43.5,68.3,1994.5,6.2,40.1,52.1,22,24.7,29.7,19.3,39.36,0,Medium,Balanced NPK,4.31
Cotton,Clay,Kharif,41.7,54.4,1497,7.36,33.6,29.1,64.5,33,16,11.3,11.87,0,Medium,Urea,1.86
Tomato,Alluvial,Rabi,28.7,48.6,800.7,6.92,115.3,23.5,65.3,70.9,10.6,22.1,48.66,0,Low,Balanced NPK,24.9
Rice,Laterite,Kharif,33.6,43.2,1798.4,5.7,27.6,5.7,20.5,62.2,13.3,3.7,4.68,0,Medium,"Urea, DAP",4.61
Sugarcane,Red,Rabi,23.3,79.5,1505,6.14,70.9,22.7,30.2,25.3,17.9,12.7,3.89,0,High,Balanced NPK,69.67
Sugarcane,Black,Zaid,20.6,55.1,2031.4,5.37,132,15.3,15.1,15,16.3,16.2,29.98,0,Medium,"DAP, MOP",69.81
Rice,Laterite,Zaid,28.9,63.2,1890.6,8.36,34.2,50.9,10.6,60.1,11.9,12.9,36.28,0,Medium,"Urea, MOP",4.09
Rice,Alluvial,Zaid,25.6,62,1603.2,5.02,137.1,17.5,79.4,37.3,18.7,22.2,48.06,0,Medium,DAP,4.16
Maize,Laterite,Zaid,32.5,67.5,1322.8,5.99,139.3,44.6,54.2,63.6,16.8,24.7,20.54,0,Medium,Balanced NPK,4.88
Wheat,Clay,Kharif,17.3,86.3,506.3,4.6,82.2,49.3,45.7,41.2,12.5,2.9,1.75,0,Medium,Balanced NPK,2.92
Cotton,Sandy Loam,Kharif,44.2,93.7,801.1,5.39,32.1,27.4,62.4,34.2,15.9,3.2,30.34,0,High,Urea,1.77
Soybean,Sandy Loam,Kharif,44.6,56.5,1163.9,7.62,51.1,7.6,68,41.6,27.7,3.3,14.84,0,Medium,DAP,2.36
Rice,Red,Kharif,35.9,83.8,1578.4,5.3,65.2,7.8,65.5,62.4,16,17,21.93,0,High,DAP,4.62
Sugarcane,Laterite,Kharif,31.1,79.7,1381.5,4.82,50.2,7,6.2,73.2,24.3,9.3,24.68,0,High,"DAP, MOP",69.27
Soybean,Sandy Loam,Zaid,24.3,67.3,862.8,6.4,46.5,60.4,19,13.5,22.2,18.3,3.69,0,Low,MOP,2.39
Maize,Red,Kharif,39.4,92.1,214.9,4.54,136.4,28.9,54.1,46.7,18.5,10.1,24.56,0,High,Balanced NPK,5.37
Cotton,Red,Kharif,35.5,43,1341.4,4.84,29.9,64.7,33.2,12.3,14.8,15.7,21.6,1,Medium,Urea,1.49
Barley,Clay,Kharif,19.9,37.1,856.9,7.73,105.3,37.4,78.7,42.8,17.4,19.2,35.77,0,Low,Balanced NPK,3.1
Rice,Red,Zaid,42.3,85.5,1889.6,7.59,10.1,39,54.9,72,21.8,13.7,32.46,0,High,Urea,4.48
Maize,Alluvial,Zaid,39.7,58.5,255.1,8.16,87.5,43.5,76.7,35.3,17,13.5,9.67,0,Medium,Balanced NPK,4.85
Rice,Sandy Loam,Zaid,43.5,85.1,1545.1,7.92,129.1,58.5,20.1,75.3,14.3,2.2,10.7,0,High,Balanced NPK,4.84
Rice,Sandy Loam,Zaid,36.8,88.1,2365.4,7.23,47.4,25.5,69.8,54.1,12.3,10.3,12.92,0,High,Balanced NPK,4.63
Groundnut,Black,Kharif,33.4,34.1,601.1,4.71,34.1,14.1,29.1,75.4,27.6,13.6,9.36,0,Medium,"Urea, DAP",1.65
Tomato,Alluvial,Kharif,27.5,87.4,1284.8,7.63,94.7,46.7,79.2,63,18.8,11.5,33.03,0,Medium,Balanced NPK,25.04
Maize,Sandy Loam,Rabi,43,59.1,410.3,7.88,102.6,29.5,16.8,17.2,22.5,22.5,49.72,1,Medium,MOP,5.1
Rice,Clay,Kharif,41,63.2,1639.1,7.7,99.4,38.2,43.7,26.2,19.8,22.7,32.78,0,High,Balanced NPK,4.79
Sugarcane,Sandy Loam,Zaid,16.4,70.7,1466.2,6.53,51.5,53.5,64.5,37.6,27.5,20.5,30.53,0,Medium,Balanced NPK,69.92
Soybean,Black,Zaid,15.8,90.2,1136.9,5.43,42.8,42.1,37.4,21.9,20.9,9.4,20.79,0,Medium,Balanced NPK,2.67
Tomato,Laterite,Kharif,26.3,31.2,1399.2,7.88,134.3,51.5,40.1,44.6,19.6,17.9,15.97,0,Low,Balanced NPK,24.92
Rice,Laterite,Rabi,39.3,61,2262.1,7.41,130,45.8,79,43,28.5,9.9,45.6,0,High,Balanced NPK,4.46
Tomato,Alluvial,Zaid,44.6,74.7,651.5,8.42,69.5,60.5,36.9,76.9,24.4,5.8,48.47,0,High,Balanced NPK,24.66
Wheat,Red,Rabi,19.5,77,251.9,5.12,120,57.9,50.3,40.4,12.2,8.6,25.09,0,Medium,Balanced NPK,2.72
Rice,Black,Zaid,32.8,75,2181.8,5.4,68.8,45.1,9.1,65,13.6,1.8,14.86,0,High,MOP,4.86
Rice,Black,Zaid,26.4,38.7,1527.4,5.35,65.2,55.9,68.2,75.9,25.7,8.3,38.62,0,Medium,Balanced NPK,4.13
Rice,Sandy Loam,Kharif,44.1,49.5,2248.5,7.67,30.4,70.5,53.6,71.4,26.7,11.5,7.06,0,Medium,Urea,4.52
Rice,Clay,Zaid,40.3,53.3,1573,5.25,65.4,37.4,35.3,24.6,20.9,23.9,38.4,0,Medium,Balanced NPK,4.37
Rice,Sandy Loam,Rabi,40.1,82.3,2063.4,4.77,79.9,36,6.2,44.7,21.1,7.8,41.04,0,High,MOP,4.39
Cotton,Clay,Rabi,29.1,48.1,1188.2,8.49,12.9,62.3,49.4,34.3,22.6,22.6,6.68,0,Low,Urea,1.97
Rice,Black,Kharif,27.4,43.7,1924.7,4.6,67.7,48.7,5.9,38,18.8,5.7,48.85,0,Medium,MOP,4.22
Tomato,Red,Zaid,23.2,92.2,2300,7.84,111.6,10.3,5.1,35.3,23.6,4.8,49.28,0,High,"DAP, MOP",25.11
Sugarcane,Laterite,Rabi,16.7,30.6,1515.9,5.96,98.4,71.9,51.2,67.8,12.2,13,46.87,0,Medium,Balanced NPK,70.21
Maize,Alluvial,Kharif,40.9,94.9,615.8,7.87,92.6,7.3,19.2,41.6,29.2,16.8,25.05,0,High,"DAP, MOP",4.75
Maize,Clay,Rabi,39.4,74,818.2,6.72,128.2,61.1,19.4,46.7,25,1.1,12.68,0,High,MOP,5.31
Groundnut,Laterite,Kharif,45,83.9,656.9,8.11,12.3,61.9,54,78.8,22.6,5.5,29.31,0,High,Urea,2.37
Maize,Alluvial,Rabi,44.9,49.2,767.8,8.2,82.4,76.5,9,14.2,16.3,11.4,21.29,1,Medium,MOP,5.57
Maize,Red,Zaid,31.7,30.9,904.8,4.54,112.4,9.1,28.5,44.2,13.2,8.3,10.69,0,Medium,DAP,4.9
Maize,Black,Rabi,38.1,78,1476.8,4.8,80.4,49.8,16.2,64.2,18.2,17.8,21.47,0,High,MOP,5.02
Rice,Red,Rabi,43.3,84.2,1552.4,5.5,52.1,37.1,48.5,20.6,23.2,12.8,33.36,0,High,Balanced NPK,4.54
Soybean,Clay,Kharif,40.5,78.1,1180.9,7.18,27.7,29.8,54.6,52.8,22.7,4,4.01,0,High,Urea,2.67
Tomato,Black,Kharif,22.4,39.3,1615.5,8.05,125.4,11.8,59.1,26.8,17.7,22.4,17,1,Medium,DAP,25.53
Tomato,Sandy Loam,Kharif,28.5,79,387.6,6.34,71.2,47.2,24.1,70.7,22.3,7.3,1.38,0,Medium,Balanced NPK,25.11
Wheat,Alluvial,Rabi,18.9,80,401.9,6.93,124.2,40.9,11.7,32.9,26.3,18.3,37.6,0,Medium,MOP,3.37
Maize,Sandy Loam,Kharif,43.6,72.8,595.2,5.25,86.2,12.8,10.9,33,10.5,19.5,32.21,0,High,"DAP, MOP",4.65
Maize,Black,Zaid,33.2,79.8,1391.6,7.72,97.6,50.9,37,51.9,19,24.1,3.6,0,High,Balanced NPK,5.6
Tomato,Alluvial,Kharif,21.9,85,692.2,8.37,114.6,60.3,75.9,22.8,25.2,12.5,48.25,1,Medium,Balanced NPK,24.77
Maize,Alluvial,Kharif,35.2,69.9,851.6,5.57,95.7,62.5,21.3,29.9,20.9,15.4,1.62,0,Medium,Balanced NPK,4.19
Tomato,Sandy Loam,Zaid,33.5,35.8,1120.7,6.48,61.7,72.9,24.3,39.2,23,8.4,29.7,0,Medium,Balanced NPK,24.26
Rice,Alluvial,Kharif,25.7,61.7,2067.3,4.84,76.8,35.7,12.6,34.8,20.3,17,38.93,0,Medium,MOP,4.56
Wheat,Black,Kharif,18.4,35,231.9,6.74,114.4,76.5,50.4,46.7,29.8,11.6,39.5,1,Low,Balanced NPK,2.83
Rice,Clay,Rabi,35.1,56.5,1693.6,6.51,58.6,69.9,56,52,11.1,10.9,2.2,0,High,Balanced NPK,4.51
Rice,Clay,Rabi,30.6,56.5,1738.4,5.08,60.5,27.2,53.2,49.7,19.8,21.4,45.37,0,High,Balanced NPK,4.01
Rice,Black,Kharif,38.2,34.3,2036.9,6.27,22.4,16.9,69.6,55.8,11.8,1.3,45.96,0,High,"Urea, DAP",4.55
Rice,Sandy Loam,Zaid,30.6,52.7,2345.3,5.84,128.9,37.7,41.5,31.5,13.2,22,28.29,0,Medium,Balanced NPK,4.69
Cotton,Red,Kharif,40.6,37.2,246.3,6.59,21.8,35.1,15.1,18.8,17.7,21.3,24.36,1,Medium,"Urea, MOP",1.84
Maize,Black,Kharif,31.6,82.5,553.7,6.84,94.3,48.2,26.7,63.3,13.1,12.7,2.72,0,High,Balanced NPK,4.8
Rice,Clay,Kharif,31.8,91.6,2238.2,4.53,63.7,48.8,54.7,69.6,29.3,12.3,28.32,0,High,Balanced NPK,4.71
Cotton,Black,Rabi,41.3,34.7,1254.6,7.54,62.7,61.2,51,28,28.9,9,20.76,1,Medium,Balanced NPK,1.67
Tomato,Alluvial,Zaid,27.1,92.1,1498.6,7.35,98.3,43.2,44.8,38.5,16.7,24.9,38.75,0,Medium,Balanced NPK,24.93
Sugarcane,Alluvial,Zaid,19,64,1725,5.97,18.7,12.9,56.2,44.9,22.8,2.8,20.49,0,Medium,"Urea, DAP",69.06
Sugarcane,Black,Zaid,15.9,49.5,1761.9,4.71,87.2,69.4,52.8,47.3,20.7,14.8,34.34,0,Low,Balanced NPK,69.43
Rice,Sandy Loam,Rabi,37.7,35,2343,7.52,110.4,28.2,71.1,56.2,26.3,17,5.52,0,High,Balanced NPK,5.06
Rice,Red,Rabi,33.6,62.5,2493,8.32,117.7,77.8,49,12.9,22.5,23.4,7.08,1,High,Balanced NPK,4.49
Rice,Alluvial,Kharif,36.1,81.6,1856.4,5.46,32.2,13.8,63.4,60.5,10,19.5,7.42,0,High,"Urea, DAP",4.07
Barley,Clay,Rabi,21.4,76,860.6,5.79,126.7,76.9,23.7,14.3,25.3,16.1,2.75,0,Medium,Balanced NPK,2.52
Sugarcane,Alluvial,Kharif,19.1,33.3,2223.4,5.24,95.3,11.8,55.9,42.8,24.9,2.9,27.3,0,Medium,DAP,69.71
Wheat,Clay,Rabi,15.4,34.7,313.2,6.81,124.6,22.3,72.7,67.9,20.2,9.3,39.8,1,Low,Balanced NPK,2.98
Groundnut,Red,Kharif,25.5,56.2,731.5,5.12,73.1,8.5,33.9,41.6,28.1,3.5,30.72,0,Low,DAP,2.27
Rice,Alluvial,Rabi,32.7,49.2,2264,5.92,80.5,57.9,63.4,20.4,28.2,22,28.96,1,Medium,Balanced NPK,4.07
Tomato,Sandy Loam,Zaid,26.8,45.1,789.2,7.29,129.5,68.8,59.4,79,20.5,18.7,34.19,0,Low,Balanced NPK,25.07
Tomato,Clay,Kharif,28.1,48.3,707.5,6.74,127,37.6,9.5,72.2,22.2,18.9,17.31,0,Low,MOP,25.47
Tomato,Alluvial,Rabi,42.1,82.2,517.7,6.05,68.3,74.6,48.6,64,29.9,16.3,18.42,0,High,Balanced NPK,24.73
Rice,Alluvial,Rabi,25.4,90.4,2176,6.18,45.7,49.3,14.8,38.8,16,12.7,16.06,0,High,MOP,4.61
Cotton,Black,Kharif,30.4,56.3,1350.1,6.75,61.1,52.3,77.5,22.9,16.5,3.7,35.75,0,Medium,Balanced NPK,1.78
Rice,Sandy Loam,Rabi,38.5,88.9,1752.3,4.52,60.4,68.4,65.9,75.9,13.7,8.2,8.5,0,High,Balanced NPK,4.44
Soybean,Sandy Loam,Zaid,26.9,50.9,749.9,4.81,47.3,27.3,13.2,47.3,27.9,3.4,1.14,0,Low,MOP,2.62
Rice,Black,Kharif,33.7,61,1943.5,8.03,44.9,31.6,14.1,69.7,24.9,18.1,30.01,0,Medium,MOP,3.89
Rice,Clay,Kharif,40.9,44.7,1948,4.81,121.9,72.9,49.6,33.9,12.1,4,47.15,0,Medium,Balanced NPK,4.86
Cotton,Laterite,Kharif,43.5,71.6,919,7.33,19.1,72.6,30.9,33.5,29.6,17.6,30.67,0,High,Urea,1.21
Potato,Red,Kharif,19.4,93.6,1144.6,8.18,98.1,78.2,7.6,79,24.6,17.3,39.25,0,Medium,MOP,20.24
Groundnut,Sandy Loam,Kharif,42.8,69.2,682.3,5.58,32.5,72.6,45.6,46.5,27,11.5,33.8,0,Medium,Urea,2.11
Rice,Laterite,Zaid,29.8,53.3,2446.1,5.98,54.8,14.6,34.1,19.8,11,3.4,25.12,0,Low,DAP,4.62
Sugarcane,Clay,Kharif,22.7,72.1,1684.9,6.78,18,66.8,12.6,25.4,20.1,7.9,36.06,0,High,"Urea, MOP",69.78
Rice,Red,Zaid,28.8,38,2349.5,8.03,45.1,35.7,65.1,43.7,24,8,41.29,0,Medium,Balanced NPK,4.8
Maize,Sandy Loam,Zaid,44.4,87.8,897.8,8.27,109.9,79.3,73.6,13,20.9,17.5,11.62,0,High,Balanced NPK,5.23
Rice,Alluvial,Zaid,29.8,62.7,1998.3,7.46,125.1,40.4,61.7,42.4,23.3,2.8,17.14,0,Medium,Balanced NPK,4.43
Sugarcane,Sandy Loam,Kharif,24.9,59.2,1961.5,4.85,38.8,46.5,66.7,39.3,26.4,20.7,11.57,0,Medium,Urea,68.94
Rice,Red,Zaid,34,68.1,1790.8,7.18,70.3,44.7,21.2,64.6,17.5,19,22.88,0,Medium,Balanced NPK,4.73
Sugarcane,Laterite,Kharif,22.2,70.6,2421,6.14,71.1,29.1,24.8,34.8,27,4.7,44.31,0,High,Balanced NPK,69.98
Potato,Alluvial,Zaid,17.3,34.7,1105.2,6.38,123.6,10.6,20.6,78.8,13.3,18,17.59,0,Low,DAP,20.23
Wheat,Red,Kharif,18.9,74.4,500.6,4.7,109.2,72.2,62.4,22.7,15.4,16.7,19.04,1,Medium,Balanced NPK,3.17
Sugarcane,Clay,Rabi,18.8,45.7,1744.9,5.26,76.7,65.2,76.1,51.4,10.9,18.7,43.09,0,Low,Balanced NPK,69.47
Barley,Red,Rabi,19.6,76.4,1877.4,7.66,97.2,15.5,58.8,16.3,17.3,4.7,26.01,0,High,DAP,2.38
Sugarcane,Sandy Loam,Zaid,19.2,83.5,1522.6,6.32,120.2,63.3,71.1,61.4,17.6,3.9,27,0,High,Balanced NPK,70.62
Groundnut,Clay,Rabi,34.2,82.3,675.7,5.71,11.2,51.9,52.9,79.6,26.1,5.9,43.11,0,High,Urea,1.92
Sugarcane,Black,Zaid,20.5,65.9,1360.2,6.04,62.4,35.7,34.1,67.3,23.1,9.1,24.78,0,Low,Balanced NPK,69.63
Tomato,Black,Zaid,25.4,63.8,918,7.92,127.9,24.1,36.9,48.9,18.7,19.8,34.24,0,Low,Balanced NPK,24.48
Maize,Alluvial,Zaid,41.9,39.3,1183.2,7.5,106.2,69.5,10.6,43.9,23,18.4,4.74,0,Medium,MOP,5.03
Rice,Red,Rabi,29.2,80.4,1684,5.59,80.6,57.5,7.4,68.5,11.1,23.1,9.34,0,High,MOP,4.07
Rice,Laterite,Zaid,35,47.6,1914,4.97,78.9,46.1,57.2,75.5,13.6,1.5,20.52,0,Medium,Balanced NPK,4.34
Potato,Alluvial,Rabi,20.2,62.3,734.1,5.51,55.2,50.7,37.9,79.2,22.5,0.3,24.99,0,Low,Balanced NPK,20.08
Tomato,Clay,Rabi,20.8,48.5,1132.2,8.18,77.7,11.8,46.4,37.8,22.8,17.5,48.3,0,Low,DAP,24.82
Potato,Alluvial,Kharif,16.2,38.7,819.1,6.83,95.2,40.5,46.8,79.4,25.5,7,48.55,0,Low,Balanced NPK,20
Tomato,Sandy Loam,Rabi,20.1,70.9,656.9,6.63,64.4,19.5,25.8,20.9,18.1,8.4,42.63,0,Medium,DAP,24.72
Sugarcane,Clay,Kharif,23.4,33.5,2001.8,6.89,102.8,20.6,40.7,27.7,24.5,13.7,16.12,1,Medium,Balanced NPK,70.01
Sugarcane,Laterite,Zaid,20.3,78.7,2291.3,5.96,122,54.6,40.3,16.2,23.7,2.6,48.22,0,High,Balanced NPK,70.81
Soybean,Red,Zaid,17.7,50.6,1051.5,7.73,30.1,73.3,34.1,29,29.3,16.1,34.62,0,Low,Urea,2.7
Sugarcane,Clay,Kharif,18.6,30,1927.9,6.59,68.7,35.3,66.6,63.8,14.3,8.1,19.95,0,Medium,Balanced NPK,69.77
Rice,Red,Zaid,28.8,63.2,2263.1,4.97,63,20.6,38.8,69.7,21,15.8,35.23,0,Medium,Balanced NPK,4.43
Sugarcane,Red,Kharif,21.2,33,2146.1,5.02,99.4,53.7,50.3,64.5,22,20.9,1.32,0,Medium,Balanced NPK,69.83
Groundnut,Alluvial,Kharif,25.9,48,620.5,6.65,42.5,70.3,72.2,54.2,30,4.3,7.73,0,Low,Balanced NPK,2.12
Rice,Sandy Loam,Zaid,30.1,76,2399.5,8.25,93.2,61.1,70,46,14,23.3,41.57,0,High,Balanced NPK,4.47
Maize,Alluvial,Kharif,35.7,34.1,1066.4,5.73,124.1,70.2,71.8,59.6,20.5,13.3,32.46,0,Medium,Balanced NPK,4.49
Barley,Black,Kharif,16.2,84.6,980.3,7.98,64.4,45.2,25.3,37.4,16.9,23.1,18.53,0,Medium,Balanced NPK,2.77
Maize,Black,Kharif,39,30.2,343.6,7.56,128.4,61.4,7.6,68.9,20.5,5.2,25.28,1,Medium,MOP,4.99
Maize,Red,Zaid,33.8,46,1318.2,5.49,139.1,15.5,24.6,57.4,14.6,15.1,45.3,0,Medium,DAP,5.64
Wheat,Sandy Loam,Zaid,17.5,78.2,450.7,4.65,23.8,31.1,25.9,58.8,11,10.1,31.76,0,Medium,Urea,3.95
Soybean,Clay,Zaid,41.2,50.6,771.6,4.91,40.3,34.2,73.2,47.5,21.5,19.4,20.21,0,Medium,Balanced NPK,2.66
Maize,Red,Zaid,42.6,36.6,929,7.41,133.5,43.3,53.7,72,16.7,15.1,6.46,0,Medium,Balanced NPK,4.82
Sugarcane,Clay,Zaid,16.8,53.4,2060.3,5.3,134.6,74.7,11.1,27.6,13.6,12.4,15.04,0,Medium,MOP,70.43
Sugarcane,Red,Rabi,23.3,47.6,2213.6,5.99,22.7,70.6,15.2,36.7,16.5,22.8,48.93,0,Medium,"Urea, MOP",68.76
Soybean,Alluvial,Rabi,39.2,84.8,895.7,6.51,11.9,15.1,16.7,64.4,11,9.4,22.15,0,High,"Urea, DAP, MOP",2.32
Rice,Red,Kharif,37.4,50.4,2175,7.4,30.9,18,52.3,44.5,29,5.5,23.86,0,Medium,"Urea, DAP",3.96
Sugarcane,Red,Rabi,20.5,81.3,2171.6,4.95,139.5,31.8,60.2,72.2,21.6,15.2,25.18,0,High,Balanced NPK,70.32
Sugarcane,Sandy Loam,Zaid,21.3,88,1958.7,6.13,33.4,26.8,69.5,34.2,26.3,15.6,44.26,0,High,Urea,69.07
Wheat,Sandy Loam,Zaid,26.1,58.2,537.4,6.44,75.3,51.1,75.5,35.9,18.5,11,30.39,0,Low,Balanced NPK,3.11
Rice,Clay,Zaid,29.5,89.1,1787.7,6.66,120.3,72.7,20.1,72.2,28.1,12.2,34.84,0,High,Balanced NPK,4.52
Rice,Sandy Loam,Kharif,33.5,54.5,2373.6,7.77,12.7,77.2,28.2,42.5,19.7,24,19.78,0,High,Urea,4.42
Rice,Red,Kharif,26.1,92.7,1769.8,5.19,88.6,54,23,46.1,21.5,18.3,1.94,0,High,Balanced NPK,4.34
Cotton,Sandy Loam,Kharif,28.9,35.8,962.7,7.73,46,67.9,31.9,33.3,19.8,2.8,46.58,0,Low,Balanced NPK,1.88
Maize,Sandy Loam,Kharif,37.4,74.7,1351.3,7.27,122.1,44.4,73.6,29.4,24.7,5.3,47.48,0,High,Balanced NPK,4.64
Sugarcane,Laterite,Kharif,16.1,62.1,1685.2,6.72,46.8,20.6,48.1,55.9,21.3,24.4,47.48,0,Low,Balanced NPK,70.15
Tomato,Laterite,Kharif,22.6,55.2,1374.3,7.3,99.3,44.4,60.4,18.4,15.4,18.2,47.21,0,Low,Balanced NPK,24.68
Maize,Black,Rabi,36.4,71.1,475.9,6.15,97.6,46.6,41.8,71.5,12.9,22.9,40.85,0,High,Balanced NPK,5.02
Soybean,Alluvial,Zaid,41.9,75.8,917.7,5.05,38.8,60.7,7.2,64.5,22.1,7.6,34.39,0,High,"Urea, MOP",2.66
Rice,Alluvial,Rabi,30.4,30.3,2045.5,7.16,14.5,21.5,9.8,23.4,19.8,18.5,42.3,1,Medium,"Urea, MOP",4.65
Rice,Sandy Loam,Kharif,31,40.9,2181.3,6.6,63.2,32.6,45.3,58.6,11.9,17.9,30.23,0,High,Balanced NPK,4.72
Wheat,Black,Zaid,18.2,76.3,515.8,7.06,47.6,32.3,58.9,52.2,17.9,7.4,7.15,0,Medium,Balanced NPK,2.7
Rice,Black,Zaid,28.4,73.3,2390.5,5.85,115.2,77,21.1,22.9,20.3,13.8,19.87,0,High,Balanced NPK,4.24
Maize,Clay,Zaid,31,92.8,956.3,8.13,114,38.3,59.1,29.1,26.5,15.7,48.58,0,High,Balanced NPK,5.03
Sugarcane,Laterite,Rabi,22.3,79.5,1723.3,6.85,69.4,61.6,65.8,38.6,11.5,12,17.88,0,High,Balanced NPK,69.97
Sugarcane,Black,Zaid,23.1,91.8,1929.2,4.84,88.8,61.3,35.9,58.9,17,20.7,43.46,0,High,Balanced NPK,69.95
Rice,Red,Kharif,26.3,75.7,2067.5,6.3,88.6,24.9,61,54.7,26.5,20.8,5.11,0,High,Balanced NPK,4.35
Barley,Clay,Kharif,15.6,49.4,2375.2,7.53,117.5,47.9,35.3,47.3,23,21.3,17.04,0,Medium,Balanced NPK,2.53
Tomato,Sandy Loam,Rabi,24.7,36.8,919.7,7.68,65.3,72.1,55.9,63.8,15.8,20.1,17.87,0,Low,Balanced NPK,24.65
Sugarcane,Red,Rabi,21.3,80.8,2174.6,6.48,45.8,40.6,62.3,63.1,26.9,12.2,3.05,0,High,Balanced NPK,70.37
Wheat,Alluvial,Kharif,24.8,71.9,502.9,8.08,44.5,75.9,79.4,53.3,19.9,9.5,6.4,0,Medium,Balanced NPK,3.61
Sugarcane,Laterite,Rabi,18.6,33.1,1821.6,5.57,79.7,21.1,30.9,65.1,20,20.8,10.06,0,Medium,Balanced NPK,69.68
Rice,Red,Zaid,41.7,53.4,1906.5,6.14,68.4,10.6,35.8,33.4,29.5,12.3,41.97,0,Medium,DAP,4.87
Rice,Sandy Loam,Rabi,32.8,92.2,1758.8,8.09,67.2,71.9,17.4,71.7,28.9,6.2,3.64,0,High,MOP,4.29
Soybean,Red,Zaid,35.4,62.5,780.3,8.09,21.8,68.6,20.3,53,17.2,12.7,15.29,0,Medium,Urea,2.75
Rice,Red,Zaid,38.7,58.1,2208,7.24,103.4,79.4,57,67.6,12.8,3.5,1,0,Medium,Balanced NPK,4.09
Groundnut,Black,Zaid,30,59.8,588.4,7.94,37.8,56,73.8,48.2,16.5,17.3,34.93,0,Low,Urea,2.08
